"Date","Open","High","Low","Close","Adj Close","Volume"
"1993-02-01",43.96875,45.125,42.8125,44.40625,25.604313,5417600
"1993-03-01",44.5625,45.84375,44.21875,45.1875,26.054768,3019200
"1993-04-01",45.25,45.25,43.28125,44.03125,25.507986,2697200
"1993-05-01",44.09375,45.65625,43.84375,45.21875,26.195913,1808000
"1993-06-01",45.375,45.8125,44.21875,45.0625,26.1054,3438000
"1993-07-01",45.125,45.21875,44.15625,44.84375,26.162792,6117600
"1993-08-01",44.90625,46.5625,44.84375,46.5625,27.16556,5440100
"1993-09-01",46.40625,46.59375,44.8125,45.9375,26.800911,4369900
"1993-10-01",45.875,47.15625,45.71875,46.84375,27.499924,6972900
"1993-11-01",46.78125,47,45.53125,46.34375,27.206408,5351100
"1993-12-01",46.59375,47.15625,46.375,46.59375,27.353163,"Low Volume"
"1994-01-01",46.59375,48.3125,46.40625,48.21875,28.500904,6837100
"1994-02-01",48.15625,48.28125,46.5625,46.8125,27.669699,10974400
"1994-03-01",46.8125,47.3125,43.53125,44.59375,26.358263,14705500
"1994-04-01",43.34375,45.359375,43.34375,45.09375,26.807539,11429000
"1994-05-01",45.09375,45.9375,44.171875,45.8125,27.234825,8545100
"1994-06-01",45.703125,46.5625,44,44.46875,26.435987,10352700
"1994-07-01",44.6875,46.046875,44.375,45.90625,27.470987,5452100
"1994-08-01",45.9375,47.984375,45.65625,47.65625,28.518219,7945800
"1994-09-01",47.5,47.71875,45.734375,46.171875,27.629944,6309300
"1994-10-01",46.203125,47.703125,45,47.484375,28.588194,5437600
"1994-11-01",47.28125,47.328125,44.609375,45.59375,27.449947,4807300
"1994-12-01",45.640625,46.40625,44.6875,45.5625,27.431099,8568500
"1995-01-01",45.703125,47.234375,45.6875,47.09375,28.579079,2768000
"1995-02-01",47.15625,49.15625,47,49.015625,29.745369,5954800
"1995-03-01",48.96875,50.890625,48.21875,50.109375,30.409128,4538000
"1995-04-01",50.09375,51.671875,50.0625,51.59375,31.479397,4395200
"1995-05-01",51.546875,53.640625,51.390625,53.640625,32.728268,6986200
"1995-06-01",53.40625,55.15625,52.75,54.40625,33.195427,5790900
"1995-07-01",54.46875,56.703125,54.203125,56.15625,34.464371,5508200
"1995-08-01",56.234375,56.796875,55.421875,56.40625,34.617813,8100100
"1995-09-01",56.390625,58.90625,56.34375,58.484375,35.893185,7431600
"1995-10-01",58.484375,59.1875,57.265625,58.3125,35.978737,8944800
"1995-11-01",58.28125,61.203125,58.234375,60.90625,37.579075,8841700
"1995-12-01",60.984375,62.796875,60.578125,61.484375,37.93576,9816800
"1996-01-01",61.40625,63.6875,59.640625,63.671875,39.528328,10661800
"1996-02-01",63.609375,66.6875,63.4375,63.875,39.654427,14850400
"1996-03-01",64.640625,65.96875,62,64.6875,40.158844,19022700
"1996-04-01",65,65.8125,62.125,65.390625,40.775661,14999300
"1996-05-01",65.375,68.4375,63.078125,66.875,41.701271,17453200
"1996-06-01",66.890625,68.5,66.15625,67.109375,41.847404,16871800
"1996-07-01",67.28125,67.703125,60.375,64.09375,40.178734,28811500
"1996-08-01",64.15625,67.34375,64.0625,65.328125,40.952541,15593100
"1996-09-01",64.46875,69.25,64.375,68.625,43.019264,17216100
"1996-10-01",68.703125,71.625,68.4375,70.84375,44.638683,14791800
"1996-11-01",70.984375,76.6875,70.265625,76.015625,47.897484,24089700
"1996-12-01",75.921875,76.578125,71.875,73.84375,46.528988,34952800
"1997-01-01",74.375,79.6875,72.75,78.40625,49.646614,43623700
"1997-02-01",78.71875,82,77.125,79.15625,50.121517,30028800
"1997-03-01",78.75,81.796875,75.25,75.375,47.727226,37514300
"1997-04-01",75.25,80.6875,73.3125,80.09375,50.909336,57679300
"1997-05-01",80.21875,85.5625,79.3125,85.15625,54.127174,37473400
"1997-06-01",85.34375,90.5,84.078125,88.3125,56.133358,47332500
"1997-07-01",88.5,96.03125,88.390625,95.3125,60.8186,65359700
"1997-08-01",95.5,96.625,89.34375,90.375,57.668003,99046800
"1997-09-01",90.6875,96.375,90.25,94.375,60.220394,78642200
"1997-10-01",95.25,98.5,84.375,92.0625,58.960293,137440500
"1997-11-01",93.1875,96.8125,90.09375,95.625,61.241852,93157400
"1997-12-01",96.21875,99,92.375,97.0625,62.16251,79162300
"1998-01-01",97.3125,99.5625,90.90625,98.3125,63.213551,104582300
"1998-02-01",99.90625,105.53125,99.71875,105.125,67.593895,69733700
